time_s,frequency_deviation_hz,iac_step_response_hz_per_kw
0.0000000000,0.0000000000,0.0000000000
5.0000000000,0.0000000000,0.0001623674
10.0000000000,0.0000000000,0.0001519629
15.0000000000,0.0000000000,0.0001503103
20.0000000000,0.0000000000,0.0001500491
25.0000000000,0.0000000000,0.0001500078
30.0000000000,0.0000000000,0.0001500012
35.0000000000,0.0000000000,0.0001500000
40.0000000000,0.0000000000,0.0001499998
45.0000000000,0.0000000000,0.0001500000
50.0000000000,0.0000000000,0.0001500001
55.0000000000,0.0000000000,0.0001500000
60.0000000000,0.0000000000,0.0001500000
65.0000000000,0.0000000000,0.0001500000
70.0000000000,0.0000000000,0.0001500001
75.0000000000,0.0000000000,0.0001500000
80.0000000000,0.0000000000,0.0001499999
85.0000000000,0.0000000000,0.0001499998
90.0000000000,0.0000000000,0.0001499998
95.0000000000,0.0000000000,0.0001500000
100.0000000000,0.0000000000,0.0001500001
105.0000000000,0.0000000000,0.0001500001
110.0000000000,0.0000000000,0.0001500000
115.0000000000,0.0000000000,0.0001500000
120.0000000000,-0.0000000053,0.0001500001
125.0000000000,-0.1948408650,0.0001499999
130.0000000000,-0.1823554025,0.0001499999
135.0000000000,-0.1803723619,0.0001499998
140.0000000000,-0.1800588646,0.0001500000
145.0000000000,-0.1800093074,0.0001500000
150.0000000000,-0.1800014736,0.0001500001
155.0000000000,-0.1800002331,0.0001500001
160.0000000000,-0.1800000360,0.0001500000
165.0000000000,-0.1800000052,0.0001500000
170.0000000000,-0.1799999999,0.0001500000
175.0000000000,-0.1799999999,0.0001499999
180.0000000000,-0.1799999993,0.0001499999
185.0000000000,-0.1800000009,0.0001499998
190.0000000000,-0.1800000016,0.0001500000
195.0000000000,-0.1800000014,0.0001500000
200.0000000000,-0.1800000014,0.0001500001
205.0000000000,-0.1800000022,0.0001500001
210.0000000000,-0.1799999991,0.0001500000
215.0000000000,-0.1799999995,0.0001500000
220.0000000000,-0.1799999994,0.0001500000
225.0000000000,-0.1799999999,0.0001499999
230.0000000000,-0.1799999997,0.0001499999
235.0000000000,-0.1800000008,0.0001500000
240.0000000000,-0.1800000018,0.0001500000
245.0000000000,-0.1800000013,0.0001500000
250.0000000000,-0.1800000011,0.0001500001
255.0000000000,-0.1800000017,0.0001500000
260.0000000000,-0.1799999990,0.0001500000
265.0000000000,-0.1799999993,0.0001500000
270.0000000000,-0.1799999980,0.0001499999
275.0000000000,-0.1800000001,0.0001499999
280.0000000000,-0.1800000001,0.0001499999
285.0000000000,-0.1800000012,0.0001500000
290.0000000000,-0.1800000019,0.0001500001
295.0000000000,-0.1800000010,0.0001500000
300.0000000000,-0.1800000031,0.0001500000
305.0000000000,-0.1800000011,0.0001500000
310.0000000000,-0.1799999990,0.0001500000
315.0000000000,-0.1799999991,0.0001500000
320.0000000000,-0.1799999980,0.0001499999
325.0000000000,-0.1800000002,0.0001499999
330.0000000000,-0.1800000006,0.0001500000
335.0000000000,-0.1800000018,0.0001500000
340.0000000000,-0.1800000019,0.0001500001
345.0000000000,-0.1800000007,0.0001500000
350.0000000000,-0.1800000026,0.0001500000
355.0000000000,-0.1800000007,0.0001500000
360.0000000000,-0.1799999990,0.0001500000
365.0000000000,-0.1799999975,0.0001500000
370.0000000000,-0.1799999983,0.0001499999
375.0000000000,-0.1800000004,0.0001499998
380.0000000000,-0.1800000010,0.0001500000
385.0000000000,-0.1800000024,0.0001500000
390.0000000000,-0.1800000019,0.0001500001
395.0000000000,-0.1800000004,0.0001500000
400.0000000000,-0.1799999998,0.0001500000
405.0000000000,-0.1800000002,0.0001500000
410.0000000000,-0.1799999990,0.0001500000
415.0000000000,-0.1799999975,0.0001499999
420.0000000000,-0.1799999469,0.0001499999
425.0000000000,0.0148408649,0.0001499998
430.0000000000,0.0023554025,0.0001499999
435.0000000000,0.0003723617,0.0001500000
440.0000000000,0.0000588637,0.0001500001
445.0000000000,0.0000093052,0.0001500000
450.0000000000,0.0000014709,0.0001500000
455.0000000000,0.0000002325,0.0001500000
460.0000000000,0.0000000368,0.0001500000
465.0000000000,0.0000000059,0.0001500000
470.0000000000,0.0000000010,0.0001499999
475.0000000000,0.0000000002,0.0001499998
480.0000000000,-0.0000000000,0.0001499999
485.0000000000,-0.0000000001,0.0001500000
490.0000000000,-0.0000000001,0.0001500001
495.0000000000,-0.0000000001,0.0001500000
500.0000000000,0.0000000000,0.0001500000
505.0000000000,-0.0000000001,0.0001500000
510.0000000000,0.0000000000,0.0001500000
515.0000000000,0.0000000000,0.0001499999
520.0000000000,0.0000000000,0.0001499999
525.0000000000,0.0000000001,0.0001499998
530.0000000000,-0.0000000001,0.0001499998
535.0000000000,-0.0000000001,0.0001500000
540.0000000000,-0.0000000002,0.0001500001
545.0000000000,-0.0000000001,0.0001500001
550.0000000000,0.0000000000,0.0001500000
555.0000000000,-0.0000000000,0.0001500000
560.0000000000,0.0000000000,0.0001500000
565.0000000000,0.0000000000,0.0001499999
570.0000000000,0.0000000001,0.0001499999
575.0000000000,0.0000000000,0.0001499999
580.0000000000,-0.0000000001,0.0001499999
585.0000000000,-0.0000000001,0.0001500000
590.0000000000,-0.0000000002,0.0001500001
595.0000000000,-0.0000000001,0.0001500001
600.0000000000,-0.0000000000,0.0001500000
