time_s,timestamp,indoor_c,outdoor_c,cooling_electric_kw,cooling_fans_pumps_kw,cooling_delivered_kw
0.0,2018-07-18 00:00:00,23.888888888888903,28.9,1.044,0.304,3.79116736371912
900.0,2018-07-18 00:15:00,23.888888888888903,28.625,1.008,0.296,3.68566177845792
1800.0,2018-07-18 00:30:00,23.888888888888896,28.35,0.98,0.292,3.60242959452964
2700.0,2018-07-18 00:45:00,23.888888888888896,28.075000000000003,0.956,0.284,3.52974796912748
3600.0,2018-07-18 01:00:00,23.888888888888896,27.8,0.932,0.28,3.46058319656736
4500.0,2018-07-18 01:15:00,23.888888888888903,27.525,0.912,0.276,3.399624413972
5400.0,2018-07-18 01:30:00,23.8888888888889,27.25,0.892,0.268,3.34335476849936
6300.0,2018-07-18 01:45:00,23.8888888888889,26.975,0.876,0.264,3.29060197586876
7200.0,2018-07-18 02:00:00,23.8888888888889,26.7,0.856,0.26,3.2401937517995196
8100.0,2018-07-18 02:15:00,23.888888888888903,26.55,0.84,0.256,3.18626867488824
9000.0,2018-07-18 02:30:00,23.888888888888903,26.4,0.824,0.252,3.135860450819
9900.0,2018-07-18 02:45:00,23.8888888888889,26.250000000000004,0.804,0.248,3.06200654113616
10800.0,2018-07-18 03:00:00,23.888888888888903,26.1,0.792,0.244,3.01159831706692
11700.0,2018-07-18 03:15:00,23.888888888888903,25.975,0.784,0.244,2.99753090569876
12600.0,2018-07-18 03:30:00,23.8888888888889,25.85,0.776,0.24,2.96822379868176
13500.0,2018-07-18 03:45:00,23.8888888888889,25.725,0.764,0.236,2.9365721231034
14400.0,2018-07-18 04:00:00,23.8888888888889,25.6,0.756,0.236,2.90609273180572
15300.0,2018-07-18 04:15:00,23.888888888888896,25.450000000000003,0.748,0.232,2.87561334050804
16200.0,2018-07-18 04:30:00,23.888888888888896,25.3,0.736,0.228,2.8451339492103602
17100.0,2018-07-18 04:45:00,23.888888888888903,25.15,0.728,0.228,2.81699912647404
18000.0,2018-07-18 05:00:00,23.888888888888907,25.0,0.716,0.224,2.78886430373772
18900.0,2018-07-18 05:15:00,23.8888888888889,25.15,0.728,0.228,2.8240328321581196
19800.0,2018-07-18 05:30:00,23.888888888888903,25.3,0.732,0.228,2.82989425356152
20700.0,2018-07-18 05:45:00,23.8888888888889,25.450000000000003,0.74,0.228,2.83927252780696
21600.0,2018-07-18 06:00:00,23.8888888888889,25.6,0.744,0.232,2.84747851777172
22500.0,2018-07-18 06:15:00,23.8888888888889,25.6,0.76,0.236,2.89436988899892
23400.0,2018-07-18 06:30:00,23.8888888888889,25.6,0.716,0.22,2.7138381097742
24300.0,2018-07-18 06:45:00,23.8888888888889,25.6,0.748,0.232,2.8310665378422
25200.0,2018-07-18 07:00:00,23.8888888888889,25.6,0.764,0.236,2.88147476191144
26100.0,2018-07-18 07:15:00,23.888888888888903,25.6625,0.768,0.24,2.88850846759552
27000.0,2018-07-18 07:30:00,23.8888888888889,25.725,0.78,0.24,2.9236769960159203
27900.0,2018-07-18 07:45:00,23.8888888888889,25.7875,0.788,0.244,2.94946725019088
28800.0,2018-07-18 08:00:00,23.888888888888903,25.85,0.744,0.228,2.7783137452116002
29700.0,2018-07-18 08:15:00,23.888888888888903,26.3375,0.784,0.24,2.89788674184096
30600.0,2018-07-18 08:30:00,23.8888888888889,26.825000000000003,1.008,0.308,3.71145203263288
31500.0,2018-07-18 08:45:00,23.8888888888889,27.3125,1.136,0.344,4.17098747065944
32400.0,2018-07-18 09:00:00,23.888888888888903,27.8,1.208,0.364,4.4019274739534
33300.0,2018-07-18 09:15:00,23.888888888888903,28.35,1.272,0.38,4.59066524314288
34200.0,2018-07-18 09:30:00,23.8888888888889,28.9,1.116,0.328,3.97521599578588
35100.0,2018-07-18 09:45:00,23.888888888888903,29.45,1.136,0.328,3.9787328486279203
36000.0,2018-07-18 10:00:00,23.888888888888896,30.0,1.212,0.348,4.20029457767644
36900.0,2018-07-18 10:15:00,23.888888888888896,30.55,1.28,0.364,4.3972383368306796
37800.0,2018-07-18 10:30:00,23.888888888888903,31.1,1.4,0.396,4.7500959053153595
38700.0,2018-07-18 10:45:00,23.888888888888903,31.65,1.508,0.42,5.065440376818279
39600.0,2018-07-18 11:00:00,23.888888888888903,32.2,1.588,0.44,5.28934667442816
40500.0,2018-07-18 11:15:00,23.888888888888896,32.75,1.652,0.452,5.434709925232481
41400.0,2018-07-18 11:30:00,23.8888888888889,33.3,1.692,0.456,5.50270241351192
42300.0,2018-07-18 11:45:00,23.888888888888903,33.849999999999994,1.78,0.476,5.7277809954024805
43200.0,2018-07-18 12:00:00,23.888888888888896,34.4,1.848,0.488,5.88252252045224
44100.0,2018-07-18 12:15:00,23.8888888888889,34.825,1.908,0.5,6.037264045502001
45000.0,2018-07-18 12:30:00,23.888888888888896,35.25,1.976,0.516,6.20255612907788
45900.0,2018-07-18 12:45:00,23.8888888888889,35.675000000000004,2.052,0.532,6.4006721725128
46800.0,2018-07-18 13:00:00,23.888888888888903,36.1,2.128,0.544,6.58706537314092
47700.0,2018-07-18 13:15:00,23.8888888888889,36.25,2.164,0.552,6.7054660854896
48600.0,2018-07-18 13:30:00,23.8888888888889,36.400000000000006,2.2,0.56,6.80745481790876
49500.0,2018-07-18 13:45:00,23.888888888888903,36.55,2.256,0.576,6.95985177439716
50400.0,2018-07-18 14:00:00,23.888888888888896,36.7,2.308,0.588,7.10521502520148
51300.0,2018-07-18 14:15:00,23.8888888888889,37.1,2.36,0.596,7.20134233621724
52200.0,2018-07-18 14:30:00,23.8888888888889,37.5,2.428,0.608,7.334982744214759
53100.0,2018-07-18 14:45:00,23.8888888888889,37.9,2.5,0.62,7.487379700703159
54000.0,2018-07-18 15:00:00,23.888888888888903,38.3,2.74,0.68,8.12510234939308
54900.0,2018-07-18 15:15:00,23.8888888888889,38.45,2.94,0.728,8.77103098804776
55800.0,2018-07-18 15:30:00,23.8888888888889,38.6,2.86,0.704,8.56001981752536
56700.0,2018-07-18 15:45:00,23.888888888888903,38.75,2.844,0.7,8.43575768377328
57600.0,2018-07-18 16:00:00,23.888888888888896,38.9,2.868,0.704,8.48030448643912
58500.0,2018-07-18 16:15:00,23.8888888888889,38.9,2.908,0.712,8.60808347303324
59400.0,2018-07-18 16:30:00,23.8888888888889,38.9,2.932,0.72,8.6983493626456
60300.0,2018-07-18 16:45:00,23.888888888888903,38.9,2.932,0.72,8.7100722054524
61200.0,2018-07-18 17:00:00,23.8888888888889,38.9,2.884,0.708,8.57057037605148
62100.0,2018-07-18 17:15:00,23.888888888888903,38.625,2.748,0.676,8.2235742289702
63000.0,2018-07-18 17:30:00,23.888888888888903,38.35,2.628,0.648,7.914091178870681
63900.0,2018-07-18 17:45:00,23.888888888888907,38.075,2.536,0.628,7.6901848812608
64800.0,2018-07-18 18:00:00,23.888888888888903,37.8,2.476,0.616,7.55302762042124
65700.0,2018-07-18 18:15:00,23.888888888888907,37.65,2.428,0.608,7.44517746659868
66600.0,2018-07-18 18:30:00,23.8888888888889,37.5,2.396,0.6,7.37015127263516
67500.0,2018-07-18 18:45:00,23.888888888888903,37.35,2.36,0.592,7.2845745201455205
68400.0,2018-07-18 19:00:00,23.8888888888889,37.2,2.324,0.584,7.194308630533159
69300.0,2018-07-18 19:15:00,23.888888888888896,36.650000000000006,2.228,0.568,6.99970943994028
70200.0,2018-07-18 19:30:00,23.888888888888903,36.1,2.104,0.54,6.68905410556008
71100.0,2018-07-18 19:45:00,23.888888888888896,35.55,1.992,0.516,6.39598303539008
72000.0,2018-07-18 20:00:00,23.888888888888903,35.0,1.856,0.484,6.031402624098599
72900.0,2018-07-18 20:15:00,23.8888888888889,34.575,1.836,0.484,6.01030150704636
73800.0,2018-07-18 20:30:00,23.888888888888896,34.15,1.752,0.464,5.78639520943648
74700.0,2018-07-18 20:45:00,23.888888888888903,33.724999999999994,1.712,0.46,5.69495703554344
75600.0,2018-07-18 21:00:00,23.8888888888889,33.3,1.652,0.448,5.54373236333572
76500.0,2018-07-18 21:15:00,23.8888888888889,33.175,1.628,0.44,5.4687061693722
77400.0,2018-07-18 21:30:00,23.888888888888896,33.05,1.6,0.436,5.38781855400528
78300.0,2018-07-18 21:45:00,23.8888888888889,32.925,1.568,0.428,5.29051895870884
79200.0,2018-07-18 22:00:00,23.888888888888896,32.8,1.52,0.416,5.145155707904521
80100.0,2018-07-18 22:15:00,23.888888888888896,32.525,1.476,0.404,5.030271848397881
81000.0,2018-07-18 22:30:00,23.8888888888889,32.25,1.444,0.4,4.955245654434361
81900.0,2018-07-18 22:45:00,23.8888888888889,31.975,1.42,0.392,4.90718199892648
82800.0,2018-07-18 23:00:00,23.8888888888889,31.7,1.404,0.392,4.87787489190948
83700.0,2018-07-18 23:15:00,23.888888888888903,31.275,1.328,0.372,4.66686372138708
84600.0,2018-07-18 23:30:00,23.8888888888889,30.85,1.272,0.36,4.50860534349528
85500.0,2018-07-18 23:45:00,23.888888888888896,30.425,1.228,0.352,4.37496493549776
86400.0,2018-07-19 00:00:00,23.8888888888889,30.0,1.184,0.34,4.25070280174568
87300.0,2018-07-19 00:15:00,23.888888888888896,29.725,1.14,0.328,4.10768411950272
88200.0,2018-07-19 00:30:00,23.888888888888896,29.45,1.112,0.324,4.02327965129376
89100.0,2018-07-19 00:45:00,23.888888888888893,29.175,1.088,0.316,3.93535833024276
90000.0,2018-07-19 01:00:00,23.888888888888903,28.9,1.06,0.312,3.8521261463144802
90900.0,2018-07-19 01:15:00,23.888888888888896,28.625,1.032,0.304,3.76068797242144
91800.0,2018-07-19 01:30:00,23.888888888888896,28.35,1.0,0.296,3.64932096575684
92700.0,2018-07-19 01:45:00,23.8888888888889,28.075000000000003,0.98,0.292,3.5871898988808
93600.0,2018-07-19 02:00:00,23.8888888888889,27.8,0.956,0.288,3.51568055775932
94500.0,2018-07-19 02:15:00,23.8888888888889,27.65,0.94,0.284,3.46058319656736
95400.0,2018-07-19 02:30:00,23.888888888888903,27.5,0.928,0.28,3.4113472567788
96300.0,2018-07-19 02:45:00,23.888888888888903,27.35,0.912,0.276,3.3668004541129597
97200.0,2018-07-19 03:00:00,23.8888888888889,27.2,0.9,0.272,3.3234259357278
98100.0,2018-07-19 03:15:00,23.8888888888889,27.075,0.888,0.268,3.28591283874604
99000.0,2018-07-19 03:30:00,23.8888888888889,26.95,0.876,0.268,3.25191659460632
99900.0,2018-07-19 03:45:00,23.888888888888896,26.825,0.868,0.264,3.2202649190279597
100800.0,2018-07-19 04:00:00,23.8888888888889,26.7,0.856,0.26,3.1886132434496
101700.0,2018-07-19 04:15:00,23.8888888888889,26.55,0.844,0.256,3.14523872506444
102600.0,2018-07-19 04:30:00,23.888888888888893,26.4,0.824,0.252,3.0760739525043204
103500.0,2018-07-19 04:45:00,23.888888888888903,26.250000000000004,0.784,0.24,2.9377444073840797
104400.0,2018-07-19 05:00:00,23.888888888888896,26.1,0.8,0.248,3.00222004282148
105300.0,2018-07-19 05:15:00,23.888888888888896,25.975,0.804,0.248,3.0198043070316802
106200.0,2018-07-19 05:30:00,23.888888888888903,25.85,0.792,0.244,2.99166948429536
107100.0,2018-07-19 05:45:00,23.8888888888889,25.725,0.784,0.244,2.95884552443632
