time_s,controller_mode,frequency_hz,frequency_deviation_hz,source_voltage_pu,pcc_voltage_pu,min_feeder_voltage_pu,max_feeder_voltage_pu,measured_voltage_pu,p_command_kw,p_feasible_kw,p_rule_kw,p_actual_kw,aggregate_p_kw,q_command_kvar,q_actual_kvar,aggregate_q_kvar,apparent_kva,temperature_c,measured_temperature_c,compressor_speed_hz,cop,id_a,iq_a,id_ref_a,iq_ref_a,current_saturated,ramp_limited,dmpc_status_ok,controller_compute_time_s,feeder_extra_load_kw,feeder_extra_load_kvar
0.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,9.854365975153313029e-01,9.463170082034657593e-01,1.062131426988108807e+00,9.855911993452073361e-01,2.028187724496120836e+00,2.028187724496120836e+00,2.000000000000000000e+00,2.028187724496121280e+00,1.014093862248060645e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.028187724496121280e+00,2.342168969023378367e+01,2.341346555457291601e+01,7.633053482693262026e+01,1.524374035464829857e+00,1.211370932707213832e+01,1.893679393894420748e-02,8.450782185400504076e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.720540000824257731e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,9.859309186975282469e-01,9.472288558197446973e-01,1.062134147925400063e+00,9.845272559449879113e-01,1.940346553552807940e+00,1.940346553552807940e+00,2.000000000000000000e+00,1.940346553552807940e+00,9.701732767764040091e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.940346553552807940e+00,2.342165669611406287e+01,2.342346100419198507e+01,7.525582321454264445e+01,1.525529375512102659e+00,1.158325195542763097e+01,1.810755479600467677e-02,8.204259235809690409e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.772819999605417252e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,2.000000000000000000e+00,5.999771161623082349e+01,-2.288383769175762316e-03,1.000000000000000000e+00,9.860148856662120931e-01,9.473852028536378089e-01,1.062134611763965397e+00,9.849465056604256308e-01,1.925460910606145104e+00,1.925460910606145104e+00,2.000000000000000000e+00,1.925460910606145326e+00,9.627304553030726311e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925460910606145326e+00,2.342162598782453742e+01,2.343632124933009209e+01,7.506908622549929078e+01,1.525721002239276869e+00,1.149118914570444794e+01,1.738962242107988665e-02,8.137237246592077256e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.991327999858185649e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,2.000000000000000000e+00,6.000498952709009615e+01,4.989527090094847926e-03,1.000000000000000000e+00,9.855378090321008644e-01,9.464974617236170396e-01,1.062131975593362920e+00,9.862257141642079006e-01,2.009919492883349701e+00,2.009919492883349701e+00,2.000000000000000000e+00,2.009919492883349257e+00,1.004959746441674611e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.009919492883349257e+00,2.342159566742002141e+01,2.342071811274612259e+01,7.611073530557433742e+01,1.524612913564721728e+00,1.200618843794564228e+01,1.900807803904364102e-02,8.493446372284923385e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.675303000258281827e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,2.000000000000000000e+00,6.000576431844659453e+01,5.764318446595124643e-03,1.000000000000000000e+00,9.900977872643593747e-01,9.526994977506334505e-01,1.068377557885191509e+00,9.828493799375307427e-01,2.097959567256671320e+00,2.097959567256671320e+00,2.000000000000000000e+00,2.097959567256671320e+00,1.048979783628335554e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.097959567256671320e+00,2.342156314857233212e+01,2.336452646637830810e+01,7.715317119770938348e+01,1.523429862073811369e+00,1.248060391854081885e+01,1.848998592866690771e-02,8.869774570584809226e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.268527000211179256e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+01,2.000000000000000000e+00,5.999876131756182929e+01,-1.238682438173261194e-03,1.000000000000000000e+00,9.906852874176298451e-01,9.538380222303513012e-01,1.068380903579450258e+00,9.864196490961090191e-01,1.995417519025500352e+00,1.995417519025500352e+00,2.000000000000000000e+00,1.995417519025500352e+00,9.977087595127501345e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.995417519025500352e+00,2.342152834253527161e+01,2.338350494809196078e+01,7.593489490174364676e+01,1.524801990355477033e+00,1.186230902444249402e+01,1.802273846836111026e-02,8.397392428861495617e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.666926000034436584e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+01,2.000000000000000000e+00,5.999203008324839459e+01,-7.969916751604307070e-03,1.000000000000000000e+00,9.912709673865568449e-01,9.549647976356511192e-01,1.068384219007662450e+00,9.909987895908782818e-01,1.891813376415441006e+00,1.891813376415441006e+00,2.000000000000000000e+00,1.891813376415441006e+00,9.459066882077205491e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.891813376415441006e+00,2.342149620109145403e+01,2.334599340976683735e+01,7.464177285994944100e+01,1.526147957840510827e+00,1.123197495954760683e+01,1.740906282545306993e-02,7.956669827621448476e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.627385999308899045e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+01,2.000000000000000000e+00,6.000087895576716335e+01,8.789557671668871489e-04,1.000000000000000000e+00,9.906302461401574888e-01,9.537321807174219401e-01,1.068380591758459230e+00,9.911739654957546497e-01,2.005131125535884795e+00,2.005131125535884795e+00,2.000000000000000000e+00,2.005131125535884795e+00,1.002565562767942424e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.005131125535884795e+00,2.342146675812282908e+01,2.337556268515766789e+01,7.605280893466822079e+01,1.524670767450015951e+00,1.191335113312482541e+01,1.864807337858775949e-02,8.428283787119305259e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.792679000645875931e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+01,2.000000000000000000e+00,6.000883967148170939e+01,8.839671481712354367e-03,1.000000000000000000e+00,9.900166446152861566e-01,9.525528576971425965e-01,1.068377112792340267e+00,9.886732079840442333e-01,2.113153758704964691e+00,2.113153758704964691e+00,2.000000000000000000e+00,2.113153758704964691e+00,1.056576879352482365e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.113153758704964691e+00,2.342143436419936720e+01,2.345326132290094989e+01,7.732891270270269501e+01,1.523217734449305416e+00,1.257255582281432638e+01,1.839864884077968554e-02,8.888086510828804521e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.448103999253362417e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000000e+01,2.000000000000000000e+00,5.999902955528197879e+01,-9.704447180182741717e-04,1.000000000000000000e+00,9.903662698702210276e-01,9.532246925127357828e-01,1.068379095705348947e+00,9.899516012053951597e-01,2.051662989953735305e+00,2.051662989953735305e+00,2.000000000000000000e+00,2.051662989953735305e+00,1.025831494976867589e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.051662989953735305e+00,2.342139916427719726e+01,2.340389115129489994e+01,7.661024953655048364e+01,1.524047354711254965e+00,1.220141030292794682e+01,1.825784758470394564e-02,8.634800069241082454e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.381636000704020262e-01,0.000000000000000000e+00,0.000000000000000000e+00
