time_s,controller_mode,frequency_hz,frequency_deviation_hz,source_voltage_pu,pcc_voltage_pu,min_feeder_voltage_pu,max_feeder_voltage_pu,measured_voltage_pu,p_command_kw,p_feasible_kw,p_rule_kw,p_actual_kw,aggregate_p_kw,q_command_kvar,q_actual_kvar,aggregate_q_kvar,apparent_kva,temperature_c,measured_temperature_c,compressor_speed_hz,cop,id_a,iq_a,id_ref_a,iq_ref_a,current_saturated,ramp_limited,dmpc_status_ok,controller_compute_time_s,feeder_extra_load_kw,feeder_extra_load_kvar
0.000000000000000000e+00,4.000000000000000000e+00,6.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.007777555258162927e+00,9.737726698933339975e-01,1.063710931453041519e+00,9.855911993452073361e-01,2.028187724493215160e+00,2.028187724493215160e+00,2.000000000000000000e+00,2.028187724493215160e+00,1.014093862246607614e+03,1.837449415079257520e+00,1.837449415079257520e+00,9.187247075396287528e+02,2.736743648711013499e+00,2.342168969023378367e+01,2.341346555457291601e+01,7.633053482689780367e+01,1.524374035464868493e+00,1.185922271676438911e+01,1.075236188605710730e+01,8.450782185388396428e+00,7.656039229496906628e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.465183999855071306e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,4.000000000000000000e+00,6.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,9.986572856550819388e-01,9.626921588874434166e-01,1.062189932254310021e+00,1.006868213687819535e+00,1.988106500911594354e+00,1.988106500911594354e+00,2.000000000000000000e+00,1.988106500911594354e+00,9.940532504557971833e+02,1.057912702699578489e+00,1.057912702699578489e+00,5.289563513497892018e+02,2.252053894892409147e+00,2.342165669611406287e+01,2.342346100419198507e+01,7.584578460998723415e+01,1.524904107088381533e+00,1.172528646105994632e+01,6.254774256395995380e+00,8.219846774628338792e+00,4.373950949376308017e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.326814999803900719e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,4.000000000000000000e+00,5.999771161623105797e+01,-2.288383768939837321e-03,1.000000000000000000e+00,9.976810628549509508e-01,9.617040175509120603e-01,1.062186016586043502e+00,9.976728726179793227e-01,1.932773117465872881e+00,1.932773117465872881e+00,2.000000000000000000e+00,1.932773117465872881e+00,9.663865587329364644e+02,9.519312613326038619e-01,9.519312613326038619e-01,4.759656306663019336e+02,2.154480227317259633e+00,2.342162474449034448e+01,2.343632000599589915e+01,7.516098993373600479e+01,1.525626273585073189e+00,1.140702933931070362e+01,5.635575732215880151e+00,8.064049037094699557e+00,3.971713131748414227e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,6.808986000251024961e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,4.000000000000000000e+00,6.000111219785168970e+01,1.112197851688225686e-03,1.000000000000000000e+00,9.982274694171356932e-01,9.622988105521002034e-01,1.062188284199164556e+00,9.978918913529467583e-01,1.953001022309497792e+00,1.953001022309497792e+00,2.000000000000000000e+00,1.953001022309498014e+00,9.765005111547490060e+02,1.006279034772031400e+00,1.006279034772031622e+00,5.031395173860158252e+02,2.197000338862895141e+00,2.342159423357919934e+01,2.342071667890530051e+01,7.541348636166254948e+01,1.525361867623913348e+00,1.152166344604995452e+01,5.953001609815982142e+00,8.156418481410014465e+00,4.202574818401370038e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.186389000387862325e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,4.000000000000000000e+00,6.000541914562469969e+01,5.419145624701897195e-03,1.000000000000000000e+00,9.971307659567242299e-01,9.604486373338406713e-01,1.062182536355073204e+00,9.955390403225655716e-01,2.077903222848421994e+00,2.077903222848421994e+00,2.000000000000000000e+00,2.077903222848421994e+00,1.038951611424211023e+03,9.735654197841526747e-01,9.735654197841526747e-01,4.867827098920763547e+02,2.294670222520733383e+00,2.342156319591187952e+01,2.336452651371785549e+01,7.691936307422517416e+01,1.523701334821875530e+00,1.227728863010582927e+01,5.765110675959980391e+00,8.673303791426535625e+00,4.063725660447483179e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,6.460423000389710069e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+01,4.000000000000000000e+00,6.000345967357399246e+01,3.459673573991307958e-03,1.000000000000000000e+00,9.984847288570833923e-01,9.622125874337699170e-01,1.062188686275635785e+00,9.934472958811407794e-01,2.056788988991451017e+00,2.056788988991451017e+00,2.000000000000000000e+00,2.056788988991451017e+00,1.028394494495725439e+03,1.075324946688506644e+00,1.075324946688506644e+00,5.376624733442532715e+02,2.320927548676846364e+00,2.342152891053999042e+01,2.338350551609667960e+01,7.667092553591683668e+01,1.523984210691691432e+00,1.214024177344177602e+01,6.354044229396860644e+00,8.594614080105166920e+00,4.493413265514030641e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.272472000448033214e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+01,4.000000000000000000e+00,5.999337450690804019e+01,-6.625493091957966076e-03,1.000000000000000000e+00,9.980510559637674195e-01,9.621948577613004261e-01,1.062187710427054510e+00,9.987982310303318290e-01,1.923800754961821013e+00,1.923800754961821013e+00,2.000000000000000000e+00,1.923800754961821013e+00,9.619003774809104925e+02,9.783076912726099694e-01,9.783076912726100804e-01,4.891538456363050500e+02,2.158262097984120498e+00,2.342149517365657019e+01,2.334599238233195351e+01,7.504817344877592689e+01,1.525736742530817480e+00,1.135371051074071325e+01,5.788001803798364264e+00,8.028001077375437333e+00,4.082468093062503911e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,6.726568999001756310e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+01,4.000000000000000000e+00,5.999574716412809039e+01,-4.252835871912013024e-03,1.000000000000000000e+00,9.979861795388496049e-01,9.620614165860318368e-01,1.062187328374518458e+00,9.979540540729652243e-01,1.937566529056242937e+00,1.937566529056242937e+00,2.000000000000000000e+00,1.937566529056243159e+00,9.687832645281215491e+02,9.792828232249414233e-01,9.792828232249415343e-01,4.896414116124707903e+02,2.170981092129194323e+00,2.342146489689886479e+01,2.337556082393370360e+01,7.522105381761961951e+01,1.525557096156652692e+00,1.143103083545226362e+01,5.795404848701435796e+00,8.088958799078474371e+00,4.088312989990684265e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.411520999856293201e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+01,4.000000000000000000e+00,6.000653838996290546e+01,6.538389962903433557e-03,1.000000000000000000e+00,9.973691418169109424e-01,9.608094226475858424e-01,1.062183719923819769e+00,9.960291413827363494e-01,2.063939770467213108e+00,2.063939770467213108e+00,2.000000000000000000e+00,2.063939770467213108e+00,1.031969885233606647e+03,9.866220878919815807e-01,9.866220878919816917e-01,4.933110439459908321e+02,2.287634262821001130e+00,2.342143426159574915e+01,2.345326122029733185e+01,7.675533139676076644e+01,1.523883931992249696e+00,1.219110154960010028e+01,5.841187436958695578e+00,8.617102340622761147e+00,4.119220737221200856e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,6.757367999525740743e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000000e+01,4.000000000000000000e+00,6.000472807486013238e+01,4.728074860135773015e-03,1.000000000000000000e+00,9.978798687299487158e-01,9.612137089980790083e-01,1.062185557805980674e+00,9.973040984070199455e-01,2.121888723280026312e+00,2.121888723280026312e+00,2.000000000000000000e+00,2.121888723280026312e+00,1.060944361640013085e+03,1.055481754463321264e+00,1.055481754463321264e+00,5.277408772316606473e+02,2.369905797281383730e+00,2.342140033925313958e+01,2.340389232627084226e+01,7.742941239476067494e+01,1.523097211885600322e+00,1.253203069041078521e+01,6.241127001140952757e+00,8.864524320013273950e+00,4.409441258214195081e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.173425000626593828e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+01,4.000000000000000000e+00,5.999443020079856126e+01,-5.569799201435464073e-03,1.000000000000000000e+00,9.985844493602827887e-01,9.627598365956281379e-01,1.062189895819576124e+00,9.981007970164477161e-01,1.947572856759213655e+00,1.947572856759213655e+00,2.000000000000000000e+00,1.947572856759213655e+00,9.737864283796068321e+02,1.033246005181936544e+00,1.033246005181936544e+00,5.166230025909683263e+02,2.204685315324995454e+00,2.342136491282851551e+01,2.338461323803598546e+01,7.534597729029729862e+01,1.525422599914091348e+00,1.148970821385156427e+01,6.108263694331669491e+00,8.132128082202530805e+00,4.314338652544921437e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.600650999927893281e-01,0.000000000000000000e+00,0.000000000000000000e+00
