time_s,controller_mode,frequency_hz,frequency_deviation_hz,source_voltage_pu,pcc_voltage_pu,min_feeder_voltage_pu,max_feeder_voltage_pu,measured_voltage_pu,p_command_kw,p_feasible_kw,p_rule_kw,p_actual_kw,aggregate_p_kw,q_command_kvar,q_actual_kvar,aggregate_q_kvar,apparent_kva,temperature_c,measured_temperature_c,compressor_speed_hz,cop,id_a,iq_a,id_ref_a,iq_ref_a,current_saturated,ramp_limited,dmpc_status_ok,controller_compute_time_s,feeder_extra_load_kw,feeder_extra_load_kvar
0.000000000000000000e+00,4.000000000000000000e+00,6.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.006327707552969519e+00,9.687951818579504382e-01,1.063233889219768136e+00,9.855911993452073361e-01,1.839505269867318660e+00,1.839505269867318660e+00,2.000000000000000000e+00,1.839505269867318660e+00,9.197526349336593512e+02,1.837449415055193658e+00,1.837449415055193658e+00,9.187247075275968200e+02,2.599999998222367381e+00,2.342168969023378367e+01,2.341346555457291601e+01,7.396248857231802276e+01,1.526818553661597244e+00,1.077276436632259404e+01,1.076612802986293715e+01,7.664605291113828045e+00,7.656039229396640167e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.618976999947335571e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,4.000000000000000000e+00,6.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,9.956153599530012110e-01,9.579440326301837949e-01,1.060659866660819572e+00,1.005416584032803318e+00,1.977791699602600817e+00,1.977791699602600817e+00,2.000000000000000000e+00,1.977791699602601039e+00,9.888958498013005283e+02,1.214410255634535307e+00,1.214410255634535307e+00,6.072051278172676803e+02,2.320873171030093829e+00,2.342166161149117443e+01,2.342346591956909663e+01,7.571952901764581156e+01,1.525040128589217669e+00,1.170134570595485357e+01,7.199170262920317143e+00,8.188981269712684252e+00,5.028225590761866037e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.849386999965645373e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,4.000000000000000000e+00,6.001302955602267275e+01,1.302955602267255944e-02,1.000000000000000000e+00,9.961380416049022690e-01,9.579585887286130585e-01,1.061689406523552481e+00,9.946309469158985950e-01,2.138771685675369572e+00,2.138771685675369572e+00,2.000000000000000000e+00,2.138771685675369572e+00,1.069385842837684777e+03,1.332056240433638905e+00,1.332056240433638905e+00,6.660281202168195023e+02,2.519666277729029513e+00,2.342162992826365198e+01,2.343632518976920664e+01,7.762257383557027879e+01,1.522876514009921634e+00,1.265932845621155955e+01,7.879533771285692545e+00,8.950794703222252124e+00,5.574677288428099509e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.870406000234652311e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,4.000000000000000000e+00,6.000096801828713922e+01,9.680182871395735800e-04,1.000000000000000000e+00,9.961020548376648964e-01,9.584478951646626665e-01,1.061010758732149784e+00,9.963488701028980765e-01,2.005461940190301551e+00,2.005461940190301551e+00,2.000000000000000000e+00,2.005461940190301551e+00,1.002730970095150724e+03,1.267208611005583796e+00,1.267208611005583796e+00,6.336043055027919308e+02,2.372276387219362181e+00,2.342159406325624715e+01,2.342071650858234833e+01,7.605681513067341371e+01,1.524671949032788687e+00,1.187126188757856937e+01,7.494766592826296758e+00,8.388487406822539683e+00,5.300506213660044708e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.468460999953094870e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,4.000000000000000000e+00,5.998848585117538335e+01,-1.151414882461450177e-02,1.000000000000000000e+00,9.958642712179003320e-01,9.586722861922614136e-01,1.060227148027577559e+00,9.934136257430947747e-01,1.870261407236925910e+00,1.870261407236925910e+00,2.000000000000000000e+00,1.870261407236925910e+00,9.351307036184629169e+02,1.185366557574508040e+00,1.185366557574508040e+00,5.926832787872540393e+02,2.214265478034620482e+00,2.342156166034230935e+01,2.336452497814828533e+01,7.436415703834921942e+01,1.526425225810587483e+00,1.106523239417845872e+01,7.023314937984764583e+00,7.823250464790156400e+00,4.958354718013338491e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.926398999930825084e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+01,4.000000000000000000e+00,6.000023919315760423e+01,2.391931576036163132e-04,1.000000000000000000e+00,9.958821743289871797e-01,9.583258638793435980e-01,1.060705727138689936e+00,9.921808011423168816e-01,1.964385835349626186e+00,1.964385835349626186e+00,2.000000000000000000e+00,1.964385835349626408e+00,9.821929176748132022e+02,1.230216664839361096e+00,1.230216664839361096e+00,6.151083324196805506e+02,2.317810335763202723e+00,2.342153277930422917e+01,2.338350938486091835e+01,7.555449285123573588e+01,1.525210377355470159e+00,1.162203243855024404e+01,7.288985187829450929e+00,8.218932255309855606e+00,5.147190152625156223e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.350050000241026282e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+01,4.000000000000000000e+00,6.001066952579532199e+01,1.066952579531899557e-02,1.000000000000000000e+00,9.961660237458592748e-01,9.580012511157145472e-01,1.061690869923726188e+00,9.961956765022356164e-01,2.136702468940494981e+00,2.136702468940494981e+00,2.000000000000000000e+00,2.136702468940494981e+00,1.068351234470247391e+03,1.333405379513717737e+00,1.333405379513717737e+00,6.667026897568588311e+02,2.518624097973440890e+00,2.342150144540420342e+01,2.334599865407958674e+01,7.759897571601121058e+01,1.522899227330094973e+00,1.264693046688116418e+01,7.886778517174047209e+00,8.939739241660197067e+00,5.578828390735369069e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.884496000129729509e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+01,4.000000000000000000e+00,6.000223800561384024e+01,2.238005613840637550e-03,1.000000000000000000e+00,9.962037822642989537e-01,9.582993542732632930e-01,1.061405377119007065e+00,9.960690218550570796e-01,2.075434571198478295e+00,2.075434571198478295e+00,2.000000000000000000e+00,2.075434571198478295e+00,1.037717285599239176e+03,1.307994013974624448e+00,1.307994013974624448e+00,6.539970069873122611e+02,2.453217682946065459e+00,2.342146563445633234e+01,2.337556156149117115e+01,7.689043870577953044e+01,1.523730397191512598e+00,1.228481116073172963e+01,7.733041691813522078e+00,8.680926512774243875e+00,5.470950552734363370e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.313654999888967723e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+01,4.000000000000000000e+00,5.998861292036549031e+01,-1.138707963450831875e-02,1.000000000000000000e+00,9.959921494017484056e-01,9.588606583937870909e-01,1.060262211511841191e+00,9.942467441081856983e-01,1.865379661217023255e+00,1.865379661217023255e+00,2.000000000000000000e+00,1.865379661217023255e+00,9.326898306085116701e+02,1.193535517584945804e+00,1.193535517584945804e+00,5.967677587924729323e+02,2.214535687727542612e+00,2.342143141348849511e+01,2.345325837219007781e+01,7.430083866821817651e+01,1.526481375417412467e+00,1.103670745562566324e+01,7.069419760011846243e+00,7.802033472915344881e+00,4.992015434131886309e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.891115999897010624e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000000e+01,4.000000000000000000e+00,5.999454127233794765e+01,-5.458727662051270600e-03,1.000000000000000000e+00,9.958409380097763552e-01,9.584004526750985464e-01,1.060527796130684042e+00,9.959271059918574087e-01,1.932341322989066468e+00,1.932341322989066468e+00,2.000000000000000000e+00,1.932341322989066468e+00,9.661706614945331921e+02,1.212034687873896566e+00,1.212034687873896566e+00,6.060173439369482367e+02,2.281002208052572033e+00,2.342140266019745809e+01,2.340389464721516077e+01,7.515557226296382964e+01,1.525622156061176682e+00,1.142870651489098677e+01,7.183592260649088068e+00,8.083820925654151779e+00,5.070466203816281769e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.316906999913044274e-01,0.000000000000000000e+00,0.000000000000000000e+00
