time_s,controller_mode,frequency_hz,frequency_deviation_hz,source_voltage_pu,pcc_voltage_pu,min_feeder_voltage_pu,max_feeder_voltage_pu,measured_voltage_pu,p_command_kw,p_feasible_kw,p_rule_kw,p_actual_kw,aggregate_p_kw,q_command_kvar,q_actual_kvar,aggregate_q_kvar,apparent_kva,temperature_c,measured_temperature_c,compressor_speed_hz,cop,id_a,iq_a,id_ref_a,iq_ref_a,current_saturated,ramp_limited,dmpc_status_ok,controller_compute_time_s,feeder_extra_load_kw,feeder_extra_load_kvar
0.000000000000000000e+00,4.000000000000000000e+00,6.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.007777555258632773e+00,9.737726698939267456e-01,1.063710931453249797e+00,9.855911993452073361e-01,2.028187724487981569e+00,2.028187724487981569e+00,2.000000000000000000e+00,2.028187724487981569e+00,1.014093862243990770e+03,1.837449415117887730e+00,1.837449415117887730e+00,9.187247075589439191e+02,2.736743648733071410e+00,2.342168969023378367e+01,2.341346555457291601e+01,7.633053482683510538e+01,1.524374035464938215e+00,1.185922271672858486e+01,1.075236188627771838e+01,8.450782185366589871e+00,7.656039229657865874e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.806607999897096306e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,4.000000000000000000e+00,6.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,9.986572856615441030e-01,9.626921588966630416e-01,1.062189932254343994e+00,1.006868213688289382e+00,1.988106500383081343e+00,1.988106500383081343e+00,2.000000000000000000e+00,1.988106500383081343e+00,9.940532501915406556e+02,1.057912703145922340e+00,1.057912703145922340e+00,5.289563515729611254e+02,2.252053894635511533e+00,2.342165669611406287e+01,2.342346100419198507e+01,7.584578460353415608e+01,1.524904107095350625e+00,1.172528645787268253e+01,6.254774258981854018e+00,8.219846772439364457e+00,4.373950951219682359e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.250975000206381083e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,4.000000000000000000e+00,5.999771161623148430e+01,-2.288383768514947163e-03,1.000000000000000000e+00,9.976810628528788305e-01,9.617040175475702890e-01,1.062186016586031290e+00,9.976728726244414869e-01,1.932773117794237994e+00,1.932773117794237994e+00,2.000000000000000000e+00,1.932773117794237994e+00,9.663865588971190164e+02,9.519312612161410225e-01,9.519312612161410225e-01,4.759656306080705122e+02,2.154480227560376715e+00,2.342162474449035869e+01,2.343632000599591336e+01,7.516098993785550419e+01,1.525626273580817260e+00,1.140702934127074109e+01,5.635575731543106315e+00,8.064049038412546722e+00,3.971713131236799477e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.813206000078935176e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,4.000000000000000000e+00,6.000111219789457095e+01,1.112197894567644452e-03,1.000000000000000000e+00,9.982274694195252263e-01,9.622988105530851932e-01,1.062188284199166777e+00,9.978918913508746380e-01,1.953001023130090053e+00,1.953001023130090053e+00,2.000000000000000000e+00,1.953001023130089830e+00,9.765005115650449170e+02,1.006279035103747832e+00,1.006279035103747832e+00,5.031395175518738938e+02,2.197000339744285657e+00,2.342159423357920645e+01,2.342071667890530762e+01,7.541348637185444659e+01,1.525361867613207245e+00,1.152166345091033861e+01,5.953001611753951039e+00,8.156418484854034645e+00,4.202574819795461991e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.279689999995753169e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,4.000000000000000000e+00,6.000541914559529033e+01,5.419145595290221842e-03,1.000000000000000000e+00,9.971307659646664323e-01,9.604486373487720607e-01,1.062182536355130047e+00,9.955390403249551046e-01,2.077903220727141953e+00,2.077903220727141953e+00,2.000000000000000000e+00,2.077903220727141953e+00,1.038951610363571035e+03,9.735654200858253615e-01,9.735654200858254725e-01,4.867827100429127540e+02,2.294670220727832444e+00,2.342156319591186531e+01,2.336452651371784128e+01,7.691936304938468538e+01,1.523701334850518840e+00,1.227728861749901945e+01,5.765110677665886030e+00,8.673303782551412766e+00,4.063725661696957481e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.861522000108379871e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+01,4.000000000000000000e+00,6.000345967350864385e+01,3.459673508643471007e-03,1.000000000000000000e+00,9.984847288518642339e-01,9.622125874307249083e-01,1.062188686275627125e+00,9.934472958890829819e-01,2.056788987575494776e+00,2.056788987575494776e+00,2.000000000000000000e+00,2.056788987575494776e+00,1.028394493787747479e+03,1.075324946024817763e+00,1.075324946024817763e+00,5.376624730124088956e+02,2.320927547114537859e+00,2.342152891054002595e+01,2.338350551609671513e+01,7.667092551917596666e+01,1.523984210710713771e+00,1.214024176510287312e+01,6.354044225554258851e+00,8.594614074119917291e+00,4.493413262704913258e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.826251999882515520e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+01,4.000000000000000000e+00,5.999337450708472375e+01,-6.625492915273489131e-03,1.000000000000000000e+00,9.980510559640962676e-01,9.621948577556143078e-01,1.062187710427030307e+00,9.987982310251126705e-01,1.923800757520011118e+00,1.923800757520011118e+00,2.000000000000000000e+00,1.923800757520011340e+00,9.619003787600056512e+02,9.783076917197539579e-01,9.783076917197539579e-01,4.891538458598769807e+02,2.158262100467087219e+00,2.342149517365664479e+01,2.334599238233202811e+01,7.504817348101460084e+01,1.525736742497756815e+00,1.135371052595904295e+01,5.788001806404612815e+00,8.028001088092702631e+00,4.082468094949770254e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.232427000126335770e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+01,4.000000000000000000e+00,5.999574716423271781e+01,-4.252835767284891821e-03,1.000000000000000000e+00,9.979861795401848701e-01,9.620614165818081043e-01,1.062187328374499584e+00,9.979540540732940723e-01,1.937566531519696378e+00,1.937566531519696378e+00,2.000000000000000000e+00,1.937566531519696156e+00,9.687832657598480637e+02,9.792828237395914126e-01,9.792828237395914126e-01,4.896414118697957178e+02,2.170981094559934821e+00,2.342146489689887190e+01,2.337556082393371071e+01,7.522105384845103515e+01,1.525557096124669609e+00,1.143103085021949283e+01,5.795404851725949769e+00,8.088958809360240920e+00,4.088312992137899116e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.814076000009663403e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+01,4.000000000000000000e+00,6.000653838974621124e+01,6.538389746213311982e-03,1.000000000000000000e+00,9.973691421347010699e-01,9.608094239043212248e-01,1.062183719925638092e+00,9.960291413840716146e-01,2.063939767405541748e+00,2.063939767405541748e+00,2.000000000000000000e+00,2.063939767405541748e+00,1.031969883702770858e+03,9.866220883823418886e-01,9.866220883823417775e-01,4.933110441911708790e+02,2.287634260270198006e+00,2.342143426159568875e+01,2.345326122029727145e+01,7.675533136068054318e+01,1.523883932033448074e+00,1.219110152766088895e+01,5.841187437954490136e+00,8.617102327828526143e+00,4.119220739262980047e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.297197000007145107e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000000e+01,4.000000000000000000e+00,6.000472807467202330e+01,4.728074672022554437e-03,1.000000000000000000e+00,9.978798679604256039e-01,9.612137075931711516e-01,1.062185557802652447e+00,9.973040987248100731e-01,2.121888719371238796e+00,2.121888719371238796e+00,2.000000000000000000e+00,2.121888719371238796e+00,1.060944359685619474e+03,1.055481685455811336e+00,1.055481685455811336e+00,5.277408427279057150e+02,2.369905763047880143e+00,2.342140033925316089e+01,2.340389232627086358e+01,7.742941234987446819e+01,1.523097211938920337e+00,1.253203067633040213e+01,6.241126599261784591e+00,8.864524300859210726e+00,4.409440968519481530e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.799511999997776002e-01,0.000000000000000000e+00,0.000000000000000000e+00
