aggregate_energy_kwh,allocation_strategy,comfort_band_c,comfort_violation_count,comfort_violation_degree_minutes,controller,current_saturation_count,experiment_set,feeder_extra_load_kvar,feeder_extra_load_kw,fleet_size,frequency_nadir_hz,frequency_overshoot_hz,inverter_q_max_kvar,inverter_s_rated_kva,max_abs_frequency_deviation_hz,max_aggregate_p_kw,max_aggregate_q_kvar,max_compute_time_ms,max_feeder_voltage_pu,max_pcc_voltage_pu,max_unit_apparent_kva,mean_compute_time_ms,mean_pcc_voltage_pu,measurement_delay_steps,min_feeder_voltage_pu,min_pcc_voltage_pu,mpc_feasibility_rate,ramp_limited_count,reactive_support_kvarh,scenario,tcl_share_percent,temperature_max_c,temperature_min_c,voltage_event_type,voltage_sag_pu
168.05555555555557,load_proportional,1.0,0.0,0.0,no_support,0.0,full,0.0,0.0,500,59.8,0.0,2.2,4.0,0.20000000000000284,1000.0000000000002,0.0,0.007700000423938036,1.076961163640929,1.0001414618335638,2.0000000000000004,0.003354544058626841,0.9679394709066225,0,0.8791644640508466,0.9184961148919875,1.0,0.0,0.0,voltage_sag_0.90,28.851702250432776,24.018347958702265,24.0,source_sag,0.9
167.49364582801743,load_proportional,1.0,0.0,0.0,rule_based,0.0,full,0.0,0.0,500,59.8001264528022,0.0,2.2,4.0,0.1998735471977966,1000.0000000000002,1100.0,0.005700043402612209,1.0746292409868952,0.9992389503119228,2.94707550353146,0.0030330540073558315,0.9741463492999409,0,0.8998367360463162,0.9407080224881497,1.0,0.0,60.57982429961404,voltage_sag_0.90,28.851702250432776,24.019623870569724,24.0,source_sag,0.9
102.25342433400424,load_proportional,1.0,0.0,0.0,dmpc_active_only,0.0,full,0.0,0.0,500,59.916666666666664,0.11566175883914553,2.2,4.0,0.11566175883914553,1421.9158354779502,0.0,214.207399985753,1.0746317530769491,1.0028179449048558,2.8438316709559004,94.26366859635199,0.9721961998647081,0,0.89091705514802,0.9250404066622336,1.0,9.0,0.0,voltage_sag_0.90,28.851702250432776,24.17403592352111,24.0,source_sag,0.9
102.25342433400424,load_proportional,1.0,0.0,0.0,dmpc_pq,0.0,full,0.0,0.0,500,59.916666666666664,0.11566175883914553,2.2,4.0,0.11566175883914553,1421.9158354779502,1100.0,196.4087999658659,1.07463175307695,0.9996774741974608,2.8438316709559004,94.67244379593767,0.9779381049671526,0,0.899849282363175,0.9435369594639234,1.0,9.0,53.87418317084621,voltage_sag_0.90,28.851702250432776,24.17403592352111,24.0,source_sag,0.9
102.2710009582537,load_proportional,1.0,0.0,0.0,dmpc_full_pq,0.0,full,0.0,0.0,500,59.91666666655923,0.11566139420769872,2.2,4.0,0.11566139420769872,1413.339378815641,1100.0,328.23659997666255,1.0640645510734734,1.007783496733228,3.5049392664340275,241.9425752042785,0.9819061882352305,0,0.8998654692279419,0.9491921673659443,1.0,9.0,118.17726807787179,voltage_sag_0.90,28.851702250432776,24.174005826683032,24.0,source_sag,0.9
168.05555555555557,load_proportional,1.0,0.0,0.0,no_support,0.0,full,0.0,0.0,500,59.8,0.0,2.2,4.0,0.20000000000000284,1000.0000000000002,0.0,0.007499998901039362,1.076961163640929,1.0001414618335638,2.0000000000000004,0.0032231409856972614,0.9750906053037344,0,0.8987910556631095,0.9396006822590736,1.0,0.0,0.0,voltage_sag_0.92,28.851702250432776,24.018347958702265,24.0,source_sag,0.92
167.49364582801743,load_proportional,1.0,0.0,0.0,rule_based,0.0,full,0.0,0.0,500,59.8001264528022,0.0,2.2,4.0,0.1998735471977966,1000.0000000000002,1100.0,0.005399982910603285,1.0746292409868952,0.9992389503119228,2.94707550353146,0.0030909095359735253,0.9787558858280141,0,0.9090969553458838,0.9491349913040128,1.0,0.0,39.79162946246491,voltage_sag_0.92,28.851702250432776,24.019623870569724,24.0,source_sag,0.92
102.25342433400424,load_proportional,1.0,0.0,0.0,dmpc_active_only,0.0,full,0.0,0.0,500,59.916666666666664,0.11566175883914553,2.2,4.0,0.11566175883914553,1421.9158354779502,0.0,223.00820000236854,1.0746317530769491,1.0028179449048558,2.8438316709559004,95.03436364014132,0.9794219712315947,0,0.9108986724354322,0.9463652441108501,1.0,9.0,0.0,voltage_sag_0.92,28.851702250432776,24.17403592352111,24.0,source_sag,0.92
102.25342433400424,load_proportional,1.0,0.0,0.0,dmpc_pq,0.0,full,0.0,0.0,500,59.916666666666664,0.11566175883914553,2.2,4.0,0.11566175883914553,1421.9158354779502,924.9974846960713,202.92269997298717,1.0746317530769491,0.9996774741974602,2.8438316709559004,95.15172810089767,0.9826603872272848,0,0.9193491868176943,0.9540636265030364,1.0,9.0,32.97982127857763,voltage_sag_0.92,28.851702250432776,24.17403592352111,24.0,source_sag,0.92
102.27100030657553,load_proportional,1.0,0.0,0.0,dmpc_full_pq,0.0,full,0.0,0.0,500,59.91666666655926,0.11566139420769872,2.2,4.0,0.11566139420769872,1413.3393422901538,1100.0,339.94160004658625,1.0640645510734652,1.007783496733228,3.5049391818490054,242.90989917483614,0.9894913404329357,0,0.9198650928024893,0.9715776162016488,1.0,9.0,118.17726864769264,voltage_sag_0.92,28.851702250432776,24.174005292079283,24.0,source_sag,0.92
168.05555555555557,load_proportional,1.0,0.0,0.0,no_support,0.0,full,0.0,0.0,500,59.8,0.0,2.2,4.0,0.20000000000000284,1000.0000000000002,0.0,0.006399990525096655,1.076961163640929,1.0001414618335638,2.0000000000000004,0.003055368226852791,0.9823933649888908,0,0.9186957940916902,0.9611527291347791,1.0,0.0,0.0,voltage_sag_0.94,28.851702250432776,24.018347958702265,24.0,source_sag,0.94
167.49364582801743,load_proportional,1.0,0.0,0.0,rule_based,0.0,full,0.0,0.0,500,59.8001264528022,0.0,2.2,4.0,0.1998735471977966,1000.0000000000002,517.8166668721797,0.00600004568696022,1.074629240986895,0.9992389503119224,2.2176091687846315,0.00299668913199143,0.9842213549867885,0,0.9231795539356902,0.9652506967945055,1.0,0.0,18.354848221149112,voltage_sag_0.94,28.851702250432776,24.019623870569724,24.0,source_sag,0.94
102.25342433400424,load_proportional,1.0,0.0,0.0,dmpc_active_only,0.0,full,0.0,0.0,500,59.916666666666664,0.11566175883914553,2.2,4.0,0.11566175883914553,1421.9158354779502,0.0,249.92840003687888,1.0746317530769491,1.0028179449048558,2.8438316709559004,95.76338264910304,0.9868062338357726,0,0.9313630257530854,0.968157823991473,1.0,9.0,0.0,voltage_sag_0.94,28.851702250432776,24.17403592352111,24.0,source_sag,0.94
102.25342433400424,load_proportional,1.0,0.0,0.0,dmpc_pq,0.0,full,0.0,0.0,500,59.916666666666664,0.11566175883914553,2.2,4.0,0.11566175883914553,1421.9158354779502,325.71070764724516,209.28939996520057,1.0746317530769491,0.9996774741974603,2.8438316709559004,95.25925041203317,0.9876565100010201,0,0.9342165824935049,0.9707524140861119,1.0,9.0,11.282492627158597,voltage_sag_0.94,28.851702250432776,24.17403592352111,24.0,source_sag,0.94
102.2710020948518,load_proportional,1.0,0.0,0.0,dmpc_full_pq,0.0,full,0.0,0.0,500,59.91666666655933,0.11566139420769872,2.2,4.0,0.11566139420769872,1413.3394390396047,1100.0,324.33360000140965,1.0640645510734636,1.007783496733228,3.504939405899561,242.96567272414137,0.9973341019590413,0,0.9398688157198121,0.9935747492420449,1.0,9.0,118.17726783319362,voltage_sag_0.94,28.851702250432776,24.174006708128772,24.0,source_sag,0.94
168.05555555555557,load_proportional,1.0,0.0,0.0,no_support,0.0,full,300.0,600.0,500,59.8,0.0,2.2,4.0,0.20000000000000284,1000.0000000000002,0.0,0.00689999433234334,1.0746293492416323,0.9974895061036828,2.0000000000000004,0.0032975188310235,0.988186859470413,0,0.939925417822806,0.98326685938494,1.0,0.0,0.0,feeder_stress_600kw_300kvar,28.851702250432776,24.018347958702265,24.0,feeder_load_step,1.0
167.49364582801743,load_proportional,1.0,0.0,0.0,rule_based,0.0,full,300.0,600.0,500,59.8001264528022,0.0,2.2,4.0,0.1998735471977966,1000.0000000000002,0.0,0.00589998671784997,1.0746293492416323,0.9974895061036828,2.0000000000000004,0.003145457811130226,0.988224846730079,0,0.939925417822806,0.98326685938494,1.0,0.0,0.0,feeder_stress_600kw_300kvar,28.851702250432776,24.019623870569724,24.0,feeder_load_step,1.0
102.25342433400424,load_proportional,1.0,0.0,0.0,dmpc_active_only,0.0,full,300.0,600.0,500,59.916666666666664,0.11566175883914553,2.2,4.0,0.11566175883914553,1421.9158354779502,0.0,213.32670003175735,1.0746318615599564,0.998369950848991,2.8438316709559004,96.00178595278258,0.9913518540734089,0,0.9413686217055351,0.9842198458838722,1.0,9.0,0.0,feeder_stress_600kw_300kvar,28.851702250432776,24.17403592352111,24.0,feeder_load_step,1.0
102.25342433400424,load_proportional,1.0,0.0,0.0,dmpc_pq,0.0,full,300.0,600.0,500,59.916666666666664,0.11566175883914553,2.2,4.0,0.11566175883914553,1421.9158354779502,0.0,195.07349998457357,1.0746318615599564,0.998369950848991,2.8438316709559004,95.12251074193045,0.9913518540734089,0,0.9413686217055351,0.9842198458838722,1.0,9.0,0.0,feeder_stress_600kw_300kvar,28.851702250432776,24.17403592352111,24.0,feeder_load_step,1.0
102.18760423112052,load_proportional,1.0,0.0,0.0,dmpc_full_pq,0.0,full,300.0,600.0,500,59.91666666653495,0.11566139420769872,2.2,4.0,0.11566139420769872,1350.3692789504832,1099.9999999924307,336.26640000147745,1.0673308158536774,1.007783496733228,3.4833875405015,244.9931140507048,0.9970981499673109,0,0.9538254744217259,0.9945625429579789,1.0,8.0,96.78962775765544,feeder_stress_600kw_300kvar,28.851702250432776,24.174007069699783,24.0,feeder_load_step,1.0
168.05555555555557,load_proportional,1.0,0.0,0.0,no_support,0.0,full,450.0,900.0,500,59.8,0.0,2.2,4.0,0.20000000000000284,1000.0000000000002,0.0,0.006599992047995329,1.0808227711134,0.9992389503119228,2.0000000000000004,0.0033165310886650048,0.988911143852309,0,0.9366748724224953,0.982929819514305,1.0,0.0,0.0,feeder_stress_900kw_450kvar,28.851702250432776,24.018347958702265,24.0,feeder_load_step,1.0
167.49364582801743,load_proportional,1.0,0.0,0.0,rule_based,0.0,full,450.0,900.0,500,59.8001264528022,0.0,2.2,4.0,0.1998735471977966,1000.0000000000002,0.0,0.007800001185387373,1.0808249020443164,0.9992389503119228,2.0000000000000004,0.0033950397536959037,0.9889496259695957,0,0.9366748724224953,0.982929819514305,1.0,0.0,0.0,feeder_stress_900kw_450kvar,28.851702250432776,24.019623870569724,24.0,feeder_load_step,1.0
102.25342433400424,load_proportional,1.0,0.0,0.0,dmpc_active_only,0.0,full,450.0,900.0,500,59.916666666666664,0.11566175883914553,2.2,4.0,0.11566175883914553,1421.9158354779502,0.0,211.09549998072907,1.0746318615599564,0.998369950848991,2.8438316709559004,95.54320743859722,0.9907046616167722,0,0.9367670479699032,0.981997321541905,1.0,9.0,0.0,feeder_stress_900kw_450kvar,28.851702250432776,24.17403592352111,24.0,feeder_load_step,1.0
102.25342433400424,load_proportional,1.0,0.0,0.0,dmpc_pq,0.0,full,450.0,900.0,500,59.916666666666664,0.11566175883914553,2.2,4.0,0.11566175883914553,1421.9158354779502,0.0,215.6613999977708,1.0746318615599564,0.998369950848991,2.8438316709559004,96.20443636586135,0.9907046616167722,0,0.9367670479699032,0.981997321541905,1.0,9.0,0.0,feeder_stress_900kw_450kvar,28.851702250432776,24.17403592352111,24.0,feeder_load_step,1.0
102.17551377972994,load_proportional,1.0,0.0,0.0,dmpc_full_pq,0.0,full,450.0,900.0,500,59.916666666454766,0.11566139420769872,2.2,4.0,0.11566139420769872,1366.1745728520095,1099.9999999802505,341.2061000126414,1.0684251333543282,1.007783496733228,3.5079526582699296,244.38765950497117,0.9983292796645282,0,0.954983800318768,0.9947535499686693,1.0,8.0,104.09423375084745,feeder_stress_900kw_450kvar,28.851702250432776,24.174007139585402,24.0,feeder_load_step,1.0
168.05555555555557,load_proportional,1.0,0.0,0.0,no_support,0.0,full,600.0,1200.0,500,59.8,0.0,2.2,4.0,0.20000000000000284,1000.0000000000002,0.0,0.006199989002197981,1.087018498907461,0.9992389503119226,2.0000000000000004,0.0032611553988242444,0.9872260798441599,0,0.9273768738840793,0.9783664620243763,1.0,0.0,0.0,feeder_stress_1200kw_600kvar,28.851702250432776,24.018347958702265,24.0,feeder_load_step,1.0
167.49364582801743,load_proportional,1.0,0.0,0.0,rule_based,0.0,full,600.0,1200.0,500,59.8001264528022,0.0,2.2,4.0,0.1998735471977966,1000.0000000000002,44.59646201555197,0.006099988240748644,1.0870210206894195,0.9992389503119226,2.0015474703383416,0.003333887554828293,0.9874810768257574,0,0.9275850470520474,0.978569254252385,1.0,0.0,1.4720253775915764,feeder_stress_1200kw_600kvar,28.851702250432776,24.019623870569724,24.0,feeder_load_step,1.0
102.25342433400424,load_proportional,1.0,0.0,0.0,dmpc_active_only,0.0,full,600.0,1200.0,500,59.916666666666664,0.11566175883914553,2.2,4.0,0.11566175883914553,1421.9158354779502,0.0,258.0384000320919,1.0808505190664064,0.9996774741974603,2.8438316709559004,96.47931322341877,0.9914524454508707,0,0.9382439459943218,0.9837943039826422,1.0,9.0,0.0,feeder_stress_1200kw_600kvar,28.851702250432776,24.17403592352111,24.0,feeder_load_step,1.0
102.25342433400424,load_proportional,1.0,0.0,0.0,dmpc_pq,0.0,full,600.0,1200.0,500,59.916666666666664,0.11566175883914553,2.2,4.0,0.11566175883914553,1421.9158354779502,0.0,208.86330003850162,1.0808505190664064,0.9996774741974603,2.8438316709559004,95.7617694175271,0.9914524454508707,0,0.9382439459943218,0.9837943039826422,1.0,9.0,0.0,feeder_stress_1200kw_600kvar,28.851702250432776,24.17403592352111,24.0,feeder_load_step,1.0
102.21079640710592,load_proportional,1.0,0.0,0.0,dmpc_full_pq,0.0,full,600.0,1200.0,500,59.915767537231915,0.11566139420769872,2.2,4.0,0.11566139420769872,1311.1095822084153,1099.9999999958475,335.34699998563156,1.0683995057793674,1.007783496733228,3.4228691687029777,244.7305801680527,0.9979038748514413,0,0.950583025637431,0.9945626971438675,1.0,8.0,124.89019684037542,feeder_stress_1200kw_600kvar,28.851702250432776,24.17384357982324,24.0,feeder_load_step,1.0
168.05555555555557,load_proportional,1.0,0.0,0.0,no_support,0.0,full,0.0,0.0,500,59.8,0.0,2.2,4.0,0.20000000000000284,1000.0000000000002,0.0,0.006999995093792677,1.076961163640929,1.0001414618335638,2.0000000000000004,0.0035049589081428763,0.9750906053037344,0,0.8987910556631095,0.9396006822590736,1.0,0.0,0.0,headroom_1.00pu,28.851702250432776,24.018347958702265,24.0,source_sag,0.92
167.49364582801743,load_proportional,1.0,0.0,0.0,rule_based,0.0,full,0.0,0.0,500,59.8001264528022,0.0,2.2,4.0,0.1998735471977966,1000.0000000000002,1100.0,0.006099988240748644,1.0746292409868952,0.9992389503119228,2.94707550353146,0.0032322324450658863,0.9787558858280141,0,0.9090969553458838,0.9491349913040128,1.0,0.0,39.79162946246491,headroom_1.00pu,28.851702250432776,24.019623870569724,24.0,source_sag,0.92
102.25342433400424,load_proportional,1.0,0.0,0.0,dmpc_active_only,0.0,full,0.0,0.0,500,59.916666666666664,0.11566175883914553,2.2,4.0,0.11566175883914553,1421.9158354779502,0.0,218.329299998004,1.0746317530769491,1.0028179449048558,2.8438316709559004,95.07061983458698,0.9794219712315947,0,0.9108986724354322,0.9463652441108501,1.0,9.0,0.0,headroom_1.00pu,28.851702250432776,24.17403592352111,24.0,source_sag,0.92
102.25342433400424,load_proportional,1.0,0.0,0.0,dmpc_pq,0.0,full,0.0,0.0,500,59.916666666666664,0.11566175883914553,2.2,4.0,0.11566175883914553,1421.9158354779502,924.9974846960713,206.79259998723865,1.0746317530769491,0.9996774741974602,2.8438316709559004,95.67429752027508,0.9826603872272848,0,0.9193491868176943,0.9540636265030364,1.0,9.0,32.97982127857763,headroom_1.00pu,28.851702250432776,24.17403592352111,24.0,source_sag,0.92
102.27100030657553,load_proportional,1.0,0.0,0.0,dmpc_full_pq,0.0,full,0.0,0.0,500,59.91666666655926,0.11566139420769872,2.2,4.0,0.11566139420769872,1413.3393422901538,1100.0,355.05689994897693,1.0640645510734652,1.007783496733228,3.5049391818490054,247.15886280769945,0.9894913404329357,0,0.9198650928024893,0.9715776162016488,1.0,9.0,118.17726864769264,headroom_1.00pu,28.851702250432776,24.174005292079283,24.0,source_sag,0.92
168.05555555555557,load_proportional,1.0,0.0,0.0,no_support,0.0,full,0.0,0.0,500,59.8,0.0,2.75,5.0,0.20000000000000284,1000.0000000000002,0.0,0.005599984433501959,1.076961163640929,1.0001414618335638,2.0000000000000004,0.0029570222947715727,0.9750906053037344,0,0.8987910556631095,0.9396006822590736,1.0,0.0,0.0,headroom_1.25pu,28.851702250432776,24.018347958702265,24.0,source_sag,0.92
167.49364582801743,load_proportional,1.0,0.0,0.0,rule_based,0.0,full,0.0,0.0,500,59.8001264528022,0.0,2.75,5.0,0.1998735471977966,1000.0000000000002,1375.0,0.006099988240748644,1.0746292409868952,0.9992389503119228,3.377536679817883,0.003342150156347712,0.9795100853393601,0,0.9063311449492758,0.9465742526167662,1.0,0.0,45.483742441493625,headroom_1.25pu,28.851702250432776,24.019623870569724,24.0,source_sag,0.92
102.25342433400424,load_proportional,1.0,0.0,0.0,dmpc_active_only,0.0,full,0.0,0.0,500,59.916666666666664,0.11566175883914553,2.75,5.0,0.11566175883914553,1421.9158354779502,0.0,205.1352999988012,1.0746317530769491,1.0028179449048558,2.8438316709559004,96.47195372337953,0.9794219712315947,0,0.9108986724354322,0.9463652441108501,1.0,9.0,0.0,headroom_1.25pu,28.851702250432776,24.17403592352111,24.0,source_sag,0.92
102.25342433400424,load_proportional,1.0,0.0,0.0,dmpc_pq,0.0,full,0.0,0.0,500,59.916666666666664,0.11566175883914553,2.75,5.0,0.11566175883914553,1421.9158354779502,1156.2468558700891,202.16409995919093,1.0746317530769491,0.9996774741974602,2.8438316709559004,96.26630496393412,0.9832964022890172,0,0.9168039669295295,0.951743589582876,1.0,9.0,37.637814049412505,headroom_1.25pu,28.851702250432776,24.17403592352111,24.0,source_sag,0.92
102.11892678464021,load_proportional,1.0,0.0,0.0,dmpc_full_pq,0.0,full,0.0,0.0,500,59.91666666649896,0.11573857687169209,2.75,5.0,0.11573857687169209,1418.971149188786,1375.0,339.3347999663092,1.0622056320119269,1.006561044366476,3.5268826270666627,246.8735396660949,0.991240148251182,0,0.9198847912693422,0.978148158605154,1.0,9.0,146.19301048392234,headroom_1.25pu,28.851702250432776,24.17436125535918,24.0,source_sag,0.92
168.05555555555557,load_proportional,1.0,0.0,0.0,no_support,0.0,full,0.0,0.0,500,59.8,0.0,3.3000000000000003,6.0,0.20000000000000284,1000.0000000000002,0.0,0.008100003469735384,1.076961163640929,1.0001414618335638,2.0000000000000004,0.0035842930636376387,0.9750906053037344,0,0.8987910556631095,0.9396006822590736,1.0,0.0,0.0,headroom_1.50pu,28.851702250432776,24.018347958702265,24.0,source_sag,0.92
167.49364582801743,load_proportional,1.0,0.0,0.0,rule_based,0.0,full,0.0,0.0,500,59.8001264528022,0.0,3.3000000000000003,6.0,0.1998735471977966,1000.0000000000002,1650.0000000000002,0.006599992047995329,1.0746292409868952,0.9992389503119228,3.8386526312646745,0.003345451156093069,0.980169346082725,0,0.9014773172132274,0.9420839814513974,1.0,0.0,50.154219898051814,headroom_1.50pu,28.851702250432776,24.019623870569724,24.0,source_sag,0.92
102.25342433400424,load_proportional,1.0,0.0,0.0,dmpc_active_only,0.0,full,0.0,0.0,500,59.916666666666664,0.11566175883914553,3.3000000000000003,6.0,0.11566175883914553,1421.9158354779502,0.0,219.96749995741993,1.0746317530769491,1.0028179449048558,2.8438316709559004,97.69888181953253,0.9794219712315947,0,0.9108986724354322,0.9463652441108501,1.0,9.0,0.0,headroom_1.50pu,28.851702250432776,24.17403592352111,24.0,source_sag,0.92
102.25342433400424,load_proportional,1.0,0.0,0.0,dmpc_pq,0.0,full,0.0,0.0,500,59.916666666666664,0.11566175883914553,3.3000000000000003,6.0,0.11566175883914553,1421.9158354779502,1387.496227044107,207.8458999749273,1.0746317530769487,0.9996774741974601,2.8438316709559004,98.25252561997391,0.9837369909053018,0,0.9124529645577751,0.9477803298234381,1.0,9.0,41.390561240134794,headroom_1.50pu,28.851702250432776,24.17403592352111,24.0,source_sag,0.92
102.15429659739252,load_proportional,1.0,0.0,0.0,dmpc_full_pq,0.0,full,0.0,0.0,500,59.9166666665254,0.11575384994966953,3.3000000000000003,6.0,0.11575384994966953,1418.9600224381206,1650.0000000000002,341.8294999864884,1.0628064520675125,1.0094940391941425,3.526836819196494,248.30464958954093,0.9938408124803264,0,0.9199044102588103,0.9847051694197126,1.0,9.0,174.66556815355509,headroom_1.50pu,28.851702250432776,24.17449675734914,24.0,source_sag,0.92
